age,sex,year,Cultural.Background,adjusted_population
0,Male,2005,ATSI,367.24442811899667
0,Female,2005,ATSI,347.80737269846395
1,Male,2005,ATSI,386.0869682700234
1,Female,2005,ATSI,367.8674628587024
2,Male,2005,ATSI,365.9299903955438
2,Female,2005,ATSI,354.51674966966317
3,Male,2005,ATSI,396.4282739040868
3,Female,2005,ATSI,388.4292142830813
4,Male,2005,ATSI,398.06058870889206
4,Female,2005,ATSI,366.69981328850685
5,Male,2005,ATSI,358.17926378620473
5,Female,2005,ATSI,394.47022234688563
6,Male,2005,ATSI,433.56927220649106
6,Female,2005,ATSI,398.9082815422985
7,Male,2005,ATSI,422.9072008373349
7,Female,2005,ATSI,403.4008188863381
8,Male,2005,ATSI,413.86850187148747
8,Female,2005,ATSI,380.81317913511384
9,Male,2005,ATSI,376.8770243475192
9,Female,2005,ATSI,378.3540637821639
10,Male,2005,ATSI,386.6746127680308
10,Female,2005,ATSI,387.19644838807403
11,Male,2005,ATSI,412.14879533997515
11,Female,2005,ATSI,399.420322467322
12,Male,2005,ATSI,380.88543543641686
12,Female,2005,ATSI,378.10114231679944
13,Male,2005,ATSI,392.9476567464966
13,Female,2005,ATSI,405.1725396910263
14,Male,2005,ATSI,384.9772526596051
14,Female,2005,ATSI,382.679625141965
15,Male,2005,ATSI,421.24237012358145
15,Female,2005,ATSI,381.74637432775666
16,Male,2005,ATSI,353.113870844672
16,Female,2005,ATSI,366.48155387743157
17,Male,2005,ATSI,334.9990468320608
17,Female,2005,ATSI,344.8612994825825
0,Male,2006,ATSI,367.24442811899667
0,Female,2006,ATSI,347.80737269846395
1,Male,2006,ATSI,386.0869682700234
1,Female,2006,ATSI,367.8674628587024
2,Male,2006,ATSI,365.9299903955438
2,Female,2006,ATSI,354.51674966966317
3,Male,2006,ATSI,396.4282739040868
3,Female,2006,ATSI,388.4292142830813
4,Male,2006,ATSI,398.06058870889206
4,Female,2006,ATSI,366.69981328850685
5,Male,2006,ATSI,358.17926378620473
5,Female,2006,ATSI,394.47022234688563
6,Male,2006,ATSI,433.56927220649106
6,Female,2006,ATSI,398.9082815422985
7,Male,2006,ATSI,422.9072008373349
7,Female,2006,ATSI,403.4008188863381
8,Male,2006,ATSI,413.86850187148747
8,Female,2006,ATSI,380.81317913511384
9,Male,2006,ATSI,376.8770243475192
9,Female,2006,ATSI,378.3540637821639
10,Male,2006,ATSI,386.6746127680308
10,Female,2006,ATSI,387.19644838807403
11,Male,2006,ATSI,412.14879533997515
11,Female,2006,ATSI,399.420322467322
12,Male,2006,ATSI,380.88543543641686
12,Female,2006,ATSI,378.10114231679944
13,Male,2006,ATSI,392.9476567464966
13,Female,2006,ATSI,405.1725396910263
14,Male,2006,ATSI,384.9772526596051
14,Female,2006,ATSI,382.679625141965
15,Male,2006,ATSI,421.24237012358145
15,Female,2006,ATSI,381.74637432775666
16,Male,2006,ATSI,353.113870844672
16,Female,2006,ATSI,366.48155387743157
17,Male,2006,ATSI,334.9990468320608
17,Female,2006,ATSI,344.8612994825825
0,Male,2007,ATSI,367.24442811899667
0,Female,2007,ATSI,347.80737269846395
1,Male,2007,ATSI,386.0869682700234
1,Female,2007,ATSI,367.8674628587024
2,Male,2007,ATSI,365.9299903955438
2,Female,2007,ATSI,354.51674966966317
3,Male,2007,ATSI,396.4282739040868
3,Female,2007,ATSI,388.4292142830813
4,Male,2007,ATSI,398.06058870889206
4,Female,2007,ATSI,366.69981328850685
5,Male,2007,ATSI,358.17926378620473
5,Female,2007,ATSI,394.47022234688563
6,Male,2007,ATSI,433.56927220649106
6,Female,2007,ATSI,398.9082815422985
7,Male,2007,ATSI,422.9072008373349
7,Female,2007,ATSI,403.4008188863381
8,Male,2007,ATSI,413.86850187148747
8,Female,2007,ATSI,380.81317913511384
9,Male,2007,ATSI,376.8770243475192
9,Female,2007,ATSI,378.3540637821639
10,Male,2007,ATSI,386.6746127680308
10,Female,2007,ATSI,387.19644838807403
11,Male,2007,ATSI,412.14879533997515
11,Female,2007,ATSI,399.420322467322
12,Male,2007,ATSI,380.88543543641686
12,Female,2007,ATSI,378.10114231679944
13,Male,2007,ATSI,392.9476567464966
13,Female,2007,ATSI,405.1725396910263
14,Male,2007,ATSI,384.9772526596051
14,Female,2007,ATSI,382.679625141965
15,Male,2007,ATSI,421.24237012358145
15,Female,2007,ATSI,381.74637432775666
16,Male,2007,ATSI,353.113870844672
16,Female,2007,ATSI,366.48155387743157
17,Male,2007,ATSI,334.9990468320608
17,Female,2007,ATSI,344.8612994825825
0,Male,2008,ATSI,367.24442811899667
0,Female,2008,ATSI,347.80737269846395
1,Male,2008,ATSI,386.0869682700234
1,Female,2008,ATSI,367.8674628587024
2,Male,2008,ATSI,365.9299903955438
2,Female,2008,ATSI,354.51674966966317
3,Male,2008,ATSI,396.4282739040868
3,Female,2008,ATSI,388.4292142830813
4,Male,2008,ATSI,398.06058870889206
4,Female,2008,ATSI,366.69981328850685
5,Male,2008,ATSI,358.17926378620473
5,Female,2008,ATSI,394.47022234688563
6,Male,2008,ATSI,433.56927220649106
6,Female,2008,ATSI,398.9082815422985
7,Male,2008,ATSI,422.9072008373349
7,Female,2008,ATSI,403.4008188863381
8,Male,2008,ATSI,413.86850187148747
8,Female,2008,ATSI,380.81317913511384
9,Male,2008,ATSI,376.8770243475192
9,Female,2008,ATSI,378.3540637821639
10,Male,2008,ATSI,386.6746127680308
10,Female,2008,ATSI,387.19644838807403
11,Male,2008,ATSI,412.14879533997515
11,Female,2008,ATSI,399.420322467322
12,Male,2008,ATSI,380.88543543641686
12,Female,2008,ATSI,378.10114231679944
13,Male,2008,ATSI,392.9476567464966
13,Female,2008,ATSI,405.1725396910263
14,Male,2008,ATSI,384.9772526596051
14,Female,2008,ATSI,382.679625141965
15,Male,2008,ATSI,421.24237012358145
15,Female,2008,ATSI,381.74637432775666
16,Male,2008,ATSI,353.113870844672
16,Female,2008,ATSI,366.48155387743157
17,Male,2008,ATSI,334.9990468320608
17,Female,2008,ATSI,344.8612994825825
0,Male,2009,ATSI,406.6492134856836
0,Female,2009,ATSI,423.8848305277713
1,Male,2009,ATSI,451.80127607061763
1,Female,2009,ATSI,459.4074337098146
2,Male,2009,ATSI,438.1331132379196
2,Female,2009,ATSI,427.4001975127155
3,Male,2009,ATSI,500.17627032264687
3,Female,2009,ATSI,455.9816237192226
4,Male,2009,ATSI,469.20867031280363
4,Female,2009,ATSI,402.03544241282657
5,Male,2009,ATSI,484.8667658266103
5,Female,2009,ATSI,437.5783458147349
6,Male,2009,ATSI,446.25582730307275
6,Female,2009,ATSI,413.7477349083281
7,Male,2009,ATSI,413.55811486454536
7,Female,2009,ATSI,431.36085424765315
8,Male,2009,ATSI,438.27896551667413
8,Female,2009,ATSI,397.7911222879603
9,Male,2009,ATSI,431.5138226075935
9,Female,2009,ATSI,388.059188413502
10,Male,2009,ATSI,426.4548602697195
10,Female,2009,ATSI,418.74432101972775
11,Male,2009,ATSI,450.35268573809003
11,Female,2009,ATSI,454.14057070206064
12,Male,2009,ATSI,434.38475020928075
12,Female,2009,ATSI,427.98833770855765
13,Male,2009,ATSI,425.421637343465
13,Female,2009,ATSI,430.70729004191384
14,Male,2009,ATSI,446.66887747066585
14,Female,2009,ATSI,431.08443655229297
15,Male,2009,ATSI,402.83991449271537
15,Female,2009,ATSI,402.4227656090559
16,Male,2009,ATSI,427.2276471925261
16,Female,2009,ATSI,417.81245051257696
17,Male,2009,ATSI,440.2984059533395
17,Female,2009,ATSI,366.89538460593076
0,Male,2010,ATSI,406.6492134856836
0,Female,2010,ATSI,423.8848305277713
1,Male,2010,ATSI,451.80127607061763
1,Female,2010,ATSI,459.4074337098146
2,Male,2010,ATSI,438.1331132379196
2,Female,2010,ATSI,427.4001975127155
3,Male,2010,ATSI,500.17627032264687
3,Female,2010,ATSI,455.9816237192226
4,Male,2010,ATSI,469.20867031280363
4,Female,2010,ATSI,402.03544241282657
5,Male,2010,ATSI,484.8667658266103
5,Female,2010,ATSI,437.5783458147349
6,Male,2010,ATSI,446.25582730307275
6,Female,2010,ATSI,413.7477349083281
7,Male,2010,ATSI,413.55811486454536
7,Female,2010,ATSI,431.36085424765315
8,Male,2010,ATSI,438.27896551667413
8,Female,2010,ATSI,397.7911222879603
9,Male,2010,ATSI,431.5138226075935
9,Female,2010,ATSI,388.059188413502
10,Male,2010,ATSI,426.4548602697195
10,Female,2010,ATSI,418.74432101972775
11,Male,2010,ATSI,450.35268573809003
11,Female,2010,ATSI,454.14057070206064
12,Male,2010,ATSI,434.38475020928075
12,Female,2010,ATSI,427.98833770855765
13,Male,2010,ATSI,425.421637343465
13,Female,2010,ATSI,430.70729004191384
14,Male,2010,ATSI,446.66887747066585
14,Female,2010,ATSI,431.08443655229297
15,Male,2010,ATSI,402.83991449271537
15,Female,2010,ATSI,402.4227656090559
16,Male,2010,ATSI,427.2276471925261
16,Female,2010,ATSI,417.81245051257696
17,Male,2010,ATSI,440.2984059533395
17,Female,2010,ATSI,366.89538460593076
0,Male,2011,ATSI,406.6492134856836
0,Female,2011,ATSI,423.8848305277713
1,Male,2011,ATSI,451.80127607061763
1,Female,2011,ATSI,459.4074337098146
2,Male,2011,ATSI,438.1331132379196
2,Female,2011,ATSI,427.4001975127155
3,Male,2011,ATSI,500.17627032264687
3,Female,2011,ATSI,455.9816237192226
4,Male,2011,ATSI,469.20867031280363
4,Female,2011,ATSI,402.03544241282657
5,Male,2011,ATSI,484.8667658266103
5,Female,2011,ATSI,437.5783458147349
6,Male,2011,ATSI,446.25582730307275
6,Female,2011,ATSI,413.7477349083281
7,Male,2011,ATSI,413.55811486454536
7,Female,2011,ATSI,431.36085424765315
8,Male,2011,ATSI,438.27896551667413
8,Female,2011,ATSI,397.7911222879603
9,Male,2011,ATSI,431.5138226075935
9,Female,2011,ATSI,388.059188413502
10,Male,2011,ATSI,426.4548602697195
10,Female,2011,ATSI,418.74432101972775
11,Male,2011,ATSI,450.35268573809003
11,Female,2011,ATSI,454.14057070206064
12,Male,2011,ATSI,434.38475020928075
12,Female,2011,ATSI,427.98833770855765
13,Male,2011,ATSI,425.421637343465
13,Female,2011,ATSI,430.70729004191384
14,Male,2011,ATSI,446.66887747066585
14,Female,2011,ATSI,431.08443655229297
15,Male,2011,ATSI,402.83991449271537
15,Female,2011,ATSI,402.4227656090559
16,Male,2011,ATSI,427.2276471925261
16,Female,2011,ATSI,417.81245051257696
17,Male,2011,ATSI,440.2984059533395
17,Female,2011,ATSI,366.89538460593076
0,Male,2012,ATSI,406.6492134856836
0,Female,2012,ATSI,423.8848305277713
1,Male,2012,ATSI,451.80127607061763
1,Female,2012,ATSI,459.4074337098146
2,Male,2012,ATSI,438.1331132379196
2,Female,2012,ATSI,427.4001975127155
3,Male,2012,ATSI,500.17627032264687
3,Female,2012,ATSI,455.9816237192226
4,Male,2012,ATSI,469.20867031280363
4,Female,2012,ATSI,402.03544241282657
5,Male,2012,ATSI,484.8667658266103
5,Female,2012,ATSI,437.5783458147349
6,Male,2012,ATSI,446.25582730307275
6,Female,2012,ATSI,413.7477349083281
7,Male,2012,ATSI,413.55811486454536
7,Female,2012,ATSI,431.36085424765315
8,Male,2012,ATSI,438.27896551667413
8,Female,2012,ATSI,397.7911222879603
9,Male,2012,ATSI,431.5138226075935
9,Female,2012,ATSI,388.059188413502
10,Male,2012,ATSI,426.4548602697195
10,Female,2012,ATSI,418.74432101972775
11,Male,2012,ATSI,450.35268573809003
11,Female,2012,ATSI,454.14057070206064
12,Male,2012,ATSI,434.38475020928075
12,Female,2012,ATSI,427.98833770855765
13,Male,2012,ATSI,425.421637343465
13,Female,2012,ATSI,430.70729004191384
14,Male,2012,ATSI,446.66887747066585
14,Female,2012,ATSI,431.08443655229297
15,Male,2012,ATSI,402.83991449271537
15,Female,2012,ATSI,402.4227656090559
16,Male,2012,ATSI,427.2276471925261
16,Female,2012,ATSI,417.81245051257696
17,Male,2012,ATSI,440.2984059533395
17,Female,2012,ATSI,366.89538460593076
0,Male,2013,ATSI,406.6492134856836
0,Female,2013,ATSI,423.8848305277713
1,Male,2013,ATSI,451.80127607061763
1,Female,2013,ATSI,459.4074337098146
2,Male,2013,ATSI,438.1331132379196
2,Female,2013,ATSI,427.4001975127155
3,Male,2013,ATSI,500.17627032264687
3,Female,2013,ATSI,455.9816237192226
4,Male,2013,ATSI,469.20867031280363
4,Female,2013,ATSI,402.03544241282657
5,Male,2013,ATSI,484.8667658266103
5,Female,2013,ATSI,437.5783458147349
6,Male,2013,ATSI,446.25582730307275
6,Female,2013,ATSI,413.7477349083281
7,Male,2013,ATSI,413.55811486454536
7,Female,2013,ATSI,431.36085424765315
8,Male,2013,ATSI,438.27896551667413
8,Female,2013,ATSI,397.7911222879603
9,Male,2013,ATSI,431.5138226075935
9,Female,2013,ATSI,388.059188413502
10,Male,2013,ATSI,426.4548602697195
10,Female,2013,ATSI,418.74432101972775
11,Male,2013,ATSI,450.35268573809003
11,Female,2013,ATSI,454.14057070206064
12,Male,2013,ATSI,434.38475020928075
12,Female,2013,ATSI,427.98833770855765
13,Male,2013,ATSI,425.421637343465
13,Female,2013,ATSI,430.70729004191384
14,Male,2013,ATSI,446.66887747066585
14,Female,2013,ATSI,431.08443655229297
15,Male,2013,ATSI,402.83991449271537
15,Female,2013,ATSI,402.4227656090559
16,Male,2013,ATSI,427.2276471925261
16,Female,2013,ATSI,417.81245051257696
17,Male,2013,ATSI,440.2984059533395
17,Female,2013,ATSI,366.89538460593076
0,Male,2014,ATSI,430.8515720664496
0,Female,2014,ATSI,428.17870746507873
1,Male,2014,ATSI,549.1519692955228
1,Female,2014,ATSI,428.3468863923464
2,Male,2014,ATSI,502.79472553201975
2,Female,2014,ATSI,453.9430172397626
3,Male,2014,ATSI,511.33110779772426
3,Female,2014,ATSI,508.37262841098476
4,Male,2014,ATSI,511.47954289821183
4,Female,2014,ATSI,465.21472319182186
5,Male,2014,ATSI,512.402003155163
5,Female,2014,ATSI,514.1215355543113
6,Male,2014,ATSI,521.1491554269192
6,Female,2014,ATSI,527.7307741673752
7,Male,2014,ATSI,487.20586747558536
7,Female,2014,ATSI,499.7372152590417
8,Male,2014,ATSI,539.0671181079606
8,Female,2014,ATSI,481.99853819212586
9,Male,2014,ATSI,504.44911730320837
9,Female,2014,ATSI,458.71660945491016
10,Male,2014,ATSI,526.4899950953359
10,Female,2014,ATSI,476.39107992721165
11,Male,2014,ATSI,439.4764867402049
11,Female,2014,ATSI,463.8638878115579
12,Male,2014,ATSI,440.5267847017489
12,Female,2014,ATSI,461.58213825062813
13,Male,2014,ATSI,452.94384689844674
13,Female,2014,ATSI,428.2932706405079
14,Male,2014,ATSI,475.54831258605674
14,Female,2014,ATSI,451.00906958826806
15,Male,2014,ATSI,446.7239167627827
15,Female,2014,ATSI,423.9640820052555
16,Male,2014,ATSI,533.7686662679425
16,Female,2014,ATSI,480.7530232622275
17,Male,2014,ATSI,478.17705804909053
17,Female,2014,ATSI,458.606091573224
0,Male,2015,ATSI,430.8515720664496
0,Female,2015,ATSI,428.17870746507873
1,Male,2015,ATSI,549.1519692955228
1,Female,2015,ATSI,428.3468863923464
2,Male,2015,ATSI,502.79472553201975
2,Female,2015,ATSI,453.9430172397626
3,Male,2015,ATSI,511.33110779772426
3,Female,2015,ATSI,508.37262841098476
4,Male,2015,ATSI,511.47954289821183
4,Female,2015,ATSI,465.21472319182186
5,Male,2015,ATSI,512.402003155163
5,Female,2015,ATSI,514.1215355543113
6,Male,2015,ATSI,521.1491554269192
6,Female,2015,ATSI,527.7307741673752
7,Male,2015,ATSI,487.20586747558536
7,Female,2015,ATSI,499.7372152590417
8,Male,2015,ATSI,539.0671181079606
8,Female,2015,ATSI,481.99853819212586
9,Male,2015,ATSI,504.44911730320837
9,Female,2015,ATSI,458.71660945491016
10,Male,2015,ATSI,526.4899950953359
10,Female,2015,ATSI,476.39107992721165
11,Male,2015,ATSI,439.4764867402049
11,Female,2015,ATSI,463.8638878115579
12,Male,2015,ATSI,440.5267847017489
12,Female,2015,ATSI,461.58213825062813
13,Male,2015,ATSI,452.94384689844674
13,Female,2015,ATSI,428.2932706405079
14,Male,2015,ATSI,475.54831258605674
14,Female,2015,ATSI,451.00906958826806
15,Male,2015,ATSI,446.7239167627827
15,Female,2015,ATSI,423.9640820052555
16,Male,2015,ATSI,533.7686662679425
16,Female,2015,ATSI,480.7530232622275
17,Male,2015,ATSI,478.17705804909053
17,Female,2015,ATSI,458.606091573224
0,Male,2016,ATSI,430.8515720664496
0,Female,2016,ATSI,428.17870746507873
1,Male,2016,ATSI,549.1519692955228
1,Female,2016,ATSI,428.3468863923464
2,Male,2016,ATSI,502.79472553201975
2,Female,2016,ATSI,453.9430172397626
3,Male,2016,ATSI,511.33110779772426
3,Female,2016,ATSI,508.37262841098476
4,Male,2016,ATSI,511.47954289821183
4,Female,2016,ATSI,465.21472319182186
5,Male,2016,ATSI,512.402003155163
5,Female,2016,ATSI,514.1215355543113
6,Male,2016,ATSI,521.1491554269192
6,Female,2016,ATSI,527.7307741673752
7,Male,2016,ATSI,487.20586747558536
7,Female,2016,ATSI,499.7372152590417
8,Male,2016,ATSI,539.0671181079606
8,Female,2016,ATSI,481.99853819212586
9,Male,2016,ATSI,504.44911730320837
9,Female,2016,ATSI,458.71660945491016
10,Male,2016,ATSI,526.4899950953359
10,Female,2016,ATSI,476.39107992721165
11,Male,2016,ATSI,439.4764867402049
11,Female,2016,ATSI,463.8638878115579
12,Male,2016,ATSI,440.5267847017489
12,Female,2016,ATSI,461.58213825062813
13,Male,2016,ATSI,452.94384689844674
13,Female,2016,ATSI,428.2932706405079
14,Male,2016,ATSI,475.54831258605674
14,Female,2016,ATSI,451.00906958826806
15,Male,2016,ATSI,446.7239167627827
15,Female,2016,ATSI,423.9640820052555
16,Male,2016,ATSI,533.7686662679425
16,Female,2016,ATSI,480.7530232622275
17,Male,2016,ATSI,478.17705804909053
17,Female,2016,ATSI,458.606091573224
0,Male,2017,ATSI,430.8515720664496
0,Female,2017,ATSI,428.17870746507873
1,Male,2017,ATSI,549.1519692955228
1,Female,2017,ATSI,428.3468863923464
2,Male,2017,ATSI,502.79472553201975
2,Female,2017,ATSI,453.9430172397626
3,Male,2017,ATSI,511.33110779772426
3,Female,2017,ATSI,508.37262841098476
4,Male,2017,ATSI,511.47954289821183
4,Female,2017,ATSI,465.21472319182186
5,Male,2017,ATSI,512.402003155163
5,Female,2017,ATSI,514.1215355543113
6,Male,2017,ATSI,521.1491554269192
6,Female,2017,ATSI,527.7307741673752
7,Male,2017,ATSI,487.20586747558536
7,Female,2017,ATSI,499.7372152590417
8,Male,2017,ATSI,539.0671181079606
8,Female,2017,ATSI,481.99853819212586
9,Male,2017,ATSI,504.44911730320837
9,Female,2017,ATSI,458.71660945491016
10,Male,2017,ATSI,526.4899950953359
10,Female,2017,ATSI,476.39107992721165
11,Male,2017,ATSI,439.4764867402049
11,Female,2017,ATSI,463.8638878115579
12,Male,2017,ATSI,440.5267847017489
12,Female,2017,ATSI,461.58213825062813
13,Male,2017,ATSI,452.94384689844674
13,Female,2017,ATSI,428.2932706405079
14,Male,2017,ATSI,475.54831258605674
14,Female,2017,ATSI,451.00906958826806
15,Male,2017,ATSI,446.7239167627827
15,Female,2017,ATSI,423.9640820052555
16,Male,2017,ATSI,533.7686662679425
16,Female,2017,ATSI,480.7530232622275
17,Male,2017,ATSI,478.17705804909053
17,Female,2017,ATSI,458.606091573224
0,Male,2018,ATSI,430.8515720664496
0,Female,2018,ATSI,428.17870746507873
1,Male,2018,ATSI,549.1519692955228
1,Female,2018,ATSI,428.3468863923464
2,Male,2018,ATSI,502.79472553201975
2,Female,2018,ATSI,453.9430172397626
3,Male,2018,ATSI,511.33110779772426
3,Female,2018,ATSI,508.37262841098476
4,Male,2018,ATSI,511.47954289821183
4,Female,2018,ATSI,465.21472319182186
5,Male,2018,ATSI,512.402003155163
5,Female,2018,ATSI,514.1215355543113
6,Male,2018,ATSI,521.1491554269192
6,Female,2018,ATSI,527.7307741673752
7,Male,2018,ATSI,487.20586747558536
7,Female,2018,ATSI,499.7372152590417
8,Male,2018,ATSI,539.0671181079606
8,Female,2018,ATSI,481.99853819212586
9,Male,2018,ATSI,504.44911730320837
9,Female,2018,ATSI,458.71660945491016
10,Male,2018,ATSI,526.4899950953359
10,Female,2018,ATSI,476.39107992721165
11,Male,2018,ATSI,439.4764867402049
11,Female,2018,ATSI,463.8638878115579
12,Male,2018,ATSI,440.5267847017489
12,Female,2018,ATSI,461.58213825062813
13,Male,2018,ATSI,452.94384689844674
13,Female,2018,ATSI,428.2932706405079
14,Male,2018,ATSI,475.54831258605674
14,Female,2018,ATSI,451.00906958826806
15,Male,2018,ATSI,446.7239167627827
15,Female,2018,ATSI,423.9640820052555
16,Male,2018,ATSI,533.7686662679425
16,Female,2018,ATSI,480.7530232622275
17,Male,2018,ATSI,478.17705804909053
17,Female,2018,ATSI,458.606091573224
0,Male,2019,ATSI,430.8515720664496
0,Female,2019,ATSI,428.17870746507873
1,Male,2019,ATSI,549.1519692955228
1,Female,2019,ATSI,428.3468863923464
2,Male,2019,ATSI,502.79472553201975
2,Female,2019,ATSI,453.9430172397626
3,Male,2019,ATSI,511.33110779772426
3,Female,2019,ATSI,508.37262841098476
4,Male,2019,ATSI,511.47954289821183
4,Female,2019,ATSI,465.21472319182186
5,Male,2019,ATSI,512.402003155163
5,Female,2019,ATSI,514.1215355543113
6,Male,2019,ATSI,521.1491554269192
6,Female,2019,ATSI,527.7307741673752
7,Male,2019,ATSI,487.20586747558536
7,Female,2019,ATSI,499.7372152590417
8,Male,2019,ATSI,539.0671181079606
8,Female,2019,ATSI,481.99853819212586
9,Male,2019,ATSI,504.44911730320837
9,Female,2019,ATSI,458.71660945491016
10,Male,2019,ATSI,526.4899950953359
10,Female,2019,ATSI,476.39107992721165
11,Male,2019,ATSI,439.4764867402049
11,Female,2019,ATSI,463.8638878115579
12,Male,2019,ATSI,440.5267847017489
12,Female,2019,ATSI,461.58213825062813
13,Male,2019,ATSI,452.94384689844674
13,Female,2019,ATSI,428.2932706405079
14,Male,2019,ATSI,475.54831258605674
14,Female,2019,ATSI,451.00906958826806
15,Male,2019,ATSI,446.7239167627827
15,Female,2019,ATSI,423.9640820052555
16,Male,2019,ATSI,533.7686662679425
16,Female,2019,ATSI,480.7530232622275
17,Male,2019,ATSI,478.17705804909053
17,Female,2019,ATSI,458.606091573224
0,Male,2005,Other,8742.162154700798
0,Female,2005,Other,8177.482167532924
